,ip,count,country,city,region,latitude,longitude,loc,org,postal,timezone,country_name,hostname,bogon,anycast
0,66.249.76.216,46382,BE,Brussels,Brussels Capital,50.8505,4.3488,"50.8505,4.3488",AS15169 Google LLC,1000,Europe/Brussels,Belgium,crawl-66-249-76-216.googlebot.com,,
1,80.28.221.123,14725,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,123.red-80-28-221.staticip.rima-tde.net,,
2,127.0.0.1,13892,,,,,,,,,,,,True,
3,217.125.71.222,5201,ES,Sevilla,Andalusia,37.3828,-5.9732,"37.3828,-5.9732",AS3352 TELEFONICA DE ESPANA,41001,Europe/Madrid,Spain,222.red-217-125-71.staticip.rima-tde.net,,
4,66.249.75.148,3558,US,Des Moines,Iowa,41.6005,-93.6091,"41.6005,-93.6091",AS15169 Google LLC,50307,America/Chicago,United States,crawl-66-249-75-148.googlebot.com,,
5,162.243.192.191,2927,US,New York City,New York,40.7402,-73.9996,"40.7402,-73.9996","AS14061 DigitalOcean, LLC",10011,America/New_York,United States,,,
6,62.117.197.230,2567,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS12430 VODAFONE ESPANA S.A.U.,28001,Europe/Madrid,Spain,62.117.197.230.dyn.user.ono.com,,
7,89.128.176.162,1093,ES,Valencia,Valencia,39.4697,-0.3774,"39.4697,-0.3774",AS12479 Orange Espagne SA,46001,Europe/Madrid,Spain,,,
8,198.143.133.154,1045,US,Phoenix,Arizona,33.4484,-112.0740,"33.4484,-112.0740",AS32475 SingleHop LLC,85001,America/Phoenix,United States,154.133.143.198.unassigned.ord.singlehop.net,,
9,176.31.255.177,1044,FR,Roubaix,Hauts-de-France,50.6942,3.1746,"50.6942,3.1746",AS16276 OVH SAS,59051 CEDEX 1,Europe/Paris,France,ns388846.ovh.net,,
10,80.58.250.94,1043,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,94.red-80-58-250.staticip.rima-tde.net,,
11,81.39.110.171,1030,ES,Zaragoza,Aragon,41.6561,-0.8773,"41.6561,-0.8773",AS3352 TELEFONICA DE ESPANA,50001,Europe/Madrid,Spain,171.red-81-39-110.dynamicip.rima-tde.net,,
