,ip,count,geo
0, 66.249.76.216 ,46382,"{'ip': '66.249.76.216', 'hostname': 'crawl-66-249-76-216.googlebot.com', 'city': 'Brussels', 'region': 'Brussels Capital', 'country': 'BE', 'loc': '50.8505,4.3488', 'org': 'AS15169 Google LLC', 'postal': '1000', 'timezone': 'Europe/Brussels', 'country_name': 'Belgium', 'latitude': '50.8505', 'longitude': '4.3488'}"
1, 80.28.221.123 ,14725,"{'ip': '80.28.221.123', 'hostname': '123.red-80-28-221.staticip.rima-tde.net', 'city': 'Madrid', 'region': 'Madrid', 'country': 'ES', 'loc': '40.4165,-3.7026', 'org': 'AS3352 TELEFONICA DE ESPANA', 'postal': '28001', 'timezone': 'Europe/Madrid', 'country_name': 'Spain', 'latitude': '40.4165', 'longitude': '-3.7026'}"
2, 127.0.0.1 ,13892,"{'ip': '127.0.0.1', 'bogon': True, 'country_name': None, 'latitude': None, 'longitude': None}"
3, 217.125.71.222 ,5201,"{'ip': '217.125.71.222', 'hostname': '222.red-217-125-71.staticip.rima-tde.net', 'city': 'Sevilla', 'region': 'Andalusia', 'country': 'ES', 'loc': '37.3828,-5.9732', 'org': 'AS3352 TELEFONICA DE ESPANA', 'postal': '41001', 'timezone': 'Europe/Madrid', 'country_name': 'Spain', 'latitude': '37.3828', 'longitude': '-5.9732'}"
4, 66.249.75.148 ,3558,"{'ip': '66.249.75.148', 'hostname': 'crawl-66-249-75-148.googlebot.com', 'city': 'Des Moines', 'region': 'Iowa', 'country': 'US', 'loc': '41.6005,-93.6091', 'org': 'AS15169 Google LLC', 'postal': '50307', 'timezone': 'America/Chicago', 'country_name': 'United States', 'latitude': '41.6005', 'longitude': '-93.6091'}"
5, 162.243.192.191 ,2927,"{'ip': '162.243.192.191', 'city': 'New York City', 'region': 'New York', 'country': 'US', 'loc': '40.7402,-73.9996', 'org': 'AS14061 DigitalOcean, LLC', 'postal': '10011', 'timezone': 'America/New_York', 'country_name': 'United States', 'latitude': '40.7402', 'longitude': '-73.9996'}"
6, 62.117.197.230 ,2567,"{'ip': '62.117.197.230', 'hostname': '62.117.197.230.dyn.user.ono.com', 'city': 'Madrid', 'region': 'Madrid', 'country': 'ES', 'loc': '40.4165,-3.7026', 'org': 'AS12430 VODAFONE ESPANA S.A.U.', 'postal': '28001', 'timezone': 'Europe/Madrid', 'country_name': 'Spain', 'latitude': '40.4165', 'longitude': '-3.7026'}"
7, 89.128.176.162 ,1093,"{'ip': '89.128.176.162', 'city': 'Valencia', 'region': 'Valencia', 'country': 'ES', 'loc': '39.4697,-0.3774', 'org': 'AS12479 Orange Espagne SA', 'postal': '46001', 'timezone': 'Europe/Madrid', 'country_name': 'Spain', 'latitude': '39.4697', 'longitude': '-0.3774'}"
8, 198.143.133.154 ,1045,"{'ip': '198.143.133.154', 'hostname': '154.133.143.198.unassigned.ord.singlehop.net', 'city': 'Phoenix', 'region': 'Arizona', 'country': 'US', 'loc': '33.4484,-112.0740', 'org': 'AS32475 SingleHop LLC', 'postal': '85001', 'timezone': 'America/Phoenix', 'country_name': 'United States', 'latitude': '33.4484', 'longitude': '-112.0740'}"
9, 176.31.255.177 ,1044,"{'ip': '176.31.255.177', 'hostname': 'ns388846.ovh.net', 'city': 'Roubaix', 'region': 'Hauts-de-France', 'country': 'FR', 'loc': '50.6942,3.1746', 'org': 'AS16276 OVH SAS', 'postal': '59051 CEDEX 1', 'timezone': 'Europe/Paris', 'country_name': 'France', 'latitude': '50.6942', 'longitude': '3.1746'}"
